Favorable	Unfavorable	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
46.0	41.0	13.0	pew-18190	Pew	2013-10-09	2013-10-13		Adults	752		Live Phone	Nonpartisan	None
42.0	42.0	16.0	yougov-economist-18157	YouGov/Economist	2013-10-05	2013-10-07		Adults	1000	4.5	Internet	Nonpartisan	None
37.0	43.0	21.0	ap-gfk-web-18148	AP-GfK (Web)	2013-10-03	2013-10-07		Adults	1227	3.4	Internet	Nonpartisan	None
43.0	43.0	15.0	yougov-economist-18119	YouGov/Economist	2013-09-28	2013-09-30		Adults	1000	4.5	Internet	Nonpartisan	None
40.0	46.0	13.0	yougov-economist-18066	YouGov/Economist	2013-09-21	2013-09-23		Adults	1000	4.9	Internet	Nonpartisan	None
39.0	43.0	19.0	yougov-economist-17968	YouGov/Economist	2013-09-14	2013-09-16		Adults	1000	4.6	Internet	Nonpartisan	None
41.0	47.0	13.0	yougov-economist-17933	YouGov/Economist	2013-09-07	2013-09-09		Adults	1000	4.6	Internet	Nonpartisan	None
39.0	48.0	14.0	yougov-economist-17909	YouGov/Economist	2013-08-31	2013-09-02		Adults	1000	4.4	Internet	Nonpartisan	None
43.0	44.0	13.0	yougov-economist-17865	YouGov/Economist	2013-08-24	2013-08-26		Adults	1000	4.6	Internet	Nonpartisan	None
44.0	47.0	8.0	yougov-economist-17856	YouGov/Economist	2013-08-17	2013-08-19		Adults	1000	5.0	Internet	Nonpartisan	None
37.0	49.0	14.0	yougov-economist-17817	YouGov/Economist	2013-08-10	2013-08-12		Adults	1000	4.8	Internet	Nonpartisan	None
42.0	49.0	9.0	yougov-economist-17790	YouGov/Economist	2013-08-03	2013-08-05		Adults	1000	4.7	Internet	Nonpartisan	None
35.0	51.0	14.0	monmouth-university-17773	Monmouth University	2013-07-25	2013-07-30		Registered Voters	850	3.4	Live Phone	Nonpartisan	None
39.0	45.0	16.0	yougov-economist-17761	YouGov/Economist	2013-07-27	2013-07-29		Adults	1000	4.5	Internet	Nonpartisan	None
43.0	46.0	11.0	yougov-economist-17725	YouGov/Economist	2013-07-20	2013-07-22		Adults	1000	4.5	Internet	Nonpartisan	None
38.0	35.0	27.0	nbc-wsj-17722	NBC/WSJ	2013-07-17	2013-07-21		Adults	1000	3.1	Live Phone	Nonpartisan	None
43.0	45.0	12.0	yougov-economist-17693	YouGov/Economist	2013-07-13	2013-07-15		Adults	1000	4.8	Internet	Nonpartisan	None
40.0	45.0	15.0	yougov-economist-17651	YouGov/Economist	2013-07-06	2013-07-08		Adults	1000	4.4	Internet	Nonpartisan	None
38.0	44.0	18.0	quinnipiac-17657	Quinnipiac	2013-06-28	2013-07-08		Registered Voters	2014	2.2	Live Phone	Nonpartisan	None
44.0	43.0	13.0	yougov-economist-17634	YouGov/Economist	2013-06-29	2013-07-01		Adults	1000	4.1	Internet	Nonpartisan	None
42.0	48.0	9.0	fox-17613	FOX	2013-06-22	2013-06-24		Registered Voters	1012	3.0	Live Phone	Nonpartisan	None
43.0	45.0	12.0	yougov-economist-17606	YouGov/Economist	2013-06-22	2013-06-24		Adults	1000	4.5	Internet	Nonpartisan	None
42.0	46.0	12.0	yougov-economist-17574	YouGov/Economist	2013-06-15	2013-06-17		Adults	1000	4.5	Internet	Nonpartisan	None
41.0	44.0	15.0	yougov-economist-17529	YouGov/Economist	2013-06-08	2013-06-10		Adults	1000	4.4	Internet	Nonpartisan	None
43.0	47.0	11.0	yougov-economist-17491	YouGov/Economist	2013-06-01	2013-06-03		Adults	1000	4.5	Internet	Nonpartisan	None
37.0	44.0	20.0	quinnipiac-17476	Quinnipiac	2013-05-22	2013-05-28		Registered Voters	1419	2.6	Live Phone	Nonpartisan	None
45.0	44.0	11.0	yougov-economist-17467	YouGov/Economist	2013-05-25	2013-05-27		Adults	1000	5.0	Internet	Nonpartisan	None
42.0	46.0	13.0	yougov-economist-17431	YouGov/Economist	2013-05-18	2013-05-20		Adults	1000	5.0	Internet	Nonpartisan	None
46.0	42.0	12.0	yougov-economist-17400	YouGov/Economist	2013-05-11	2013-05-13		Adults	1000	4.4	Internet	Nonpartisan	None
41.0	48.0	11.0	ppp-d-17399	PPP (D)	2013-05-06	2013-05-09		Likely Voters	1099	3.0	Automated Phone	Pollster	Dem
45.0	43.0	12.0	yougov-economist-17365	YouGov/Economist	2013-05-04	2013-05-06		Adults	1000	5.0	Internet	Nonpartisan	None
45.0	44.0	12.0	yougov-economist-17334	YouGov/Economist	2013-04-27	2013-04-29		Adults	1000	4.6	Internet	Nonpartisan	None
44.0	40.0	15.0	yougov-economist-17303	YouGov/Economist	2013-04-20	2013-04-22		Adults	1000	4.8	Internet	Nonpartisan	None
46.0	41.0	13.0	yougov-economist-17272	YouGov/Economist	2013-04-13	2013-04-15		Adults	1000	4.1	Internet	Nonpartisan	None
45.0	42.0	14.0	gallup-17298	Gallup	2013-04-11	2013-04-14		Adults	1012	4.0	Live Phone	Nonpartisan	None
46.0	41.0	13.0	yougov-economist-17249	YouGov/Economist	2013-04-06	2013-04-08		Adults	1000	4.7	Internet	Nonpartisan	None
40.0	47.0	13.0	ppp-d-17222	PPP (D)	2013-03-27	2013-03-30		Likely Voters	1247	2.8	Automated Phone	Pollster	Dem
43.0	44.0	13.0	yougov-economist-17175	YouGov/Economist	2013-03-16	2013-03-18		Adults	1000	4.6	Internet	Nonpartisan	None
41.0	47.0	12.0	yougov-economist-17150	YouGov/Economist	2013-03-09	2013-03-11		Adults	1000	4.6	Internet	Nonpartisan	None
44.0	40.0	15.0	yougov-economist-17116	YouGov/Economist	2013-03-02	2013-03-04		Adults	1000	4.6	Internet	Nonpartisan	None
45.0	40.0	15.0	yougov-economist-17087	YouGov/Economist	2013-02-23	2013-02-25		Adults	1000	4.2	Internet	Nonpartisan	None
43.0	42.0	15.0	yougov-economist-17064	YouGov/Economist	2013-02-16	2013-02-18		Adults	1000	4.2	Internet	Nonpartisan	None
42.0	42.0	16.0	yougov-economist-17000	YouGov/Economist	2013-02-02	2013-02-04		Adults	994	4.3	Internet	Nonpartisan	None
46.0	41.0	13.0	quinnipiac-16998	Quinnipiac	2013-01-30	2013-02-04		Registered Voters	1772	2.3	Live Phone	Nonpartisan	None
49.0	42.0	10.0	yougov-economist-16965	YouGov/Economist	2013-01-26	2013-01-28		Adults	997	5.1	Internet	Nonpartisan	None
44.0	39.0	17.0	yougov-economist-16964	YouGov/Economist	2013-01-19	2013-01-21		Adults	999	4.5	Internet	Nonpartisan	None
48.0	37.0	15.0	abc-post-16925	ABC/Post	2013-01-16	2013-01-20		Adults	1033	3.5	Live Phone	Nonpartisan	None
41.0	37.0	22.0	nbc-wsj-16905	NBC/WSJ	2013-01-12	2013-01-15		Adults	500		Live Phone	Nonpartisan	None
44.0	46.0	10.0	yougov-economist-16963	YouGov/Economist	2013-01-12	2013-01-14		Adults	998	4.6	Internet	Nonpartisan	None
42.0	42.0	16.0	pew-16916	Pew	2013-01-09	2013-01-13		Adults	775	4.1	Live Phone	Nonpartisan	None
48.0	43.0	9.0	ppp-d-16866	PPP (D)	2013-01-03	2013-01-06		Likely Voters	1100	3.0	Automated Phone	Pollster	Dem
39.0	38.0	23.0	nbc-wsj-16807	NBC/WSJ	2012-12-06	2012-12-09		Adults	1000	3.1	Live Phone	Nonpartisan	None
46.0	43.0	12.0	politico-gwu-battleground-16794	Politico/GWU/Battleground	2012-12-02	2012-12-06		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
46.0	44.0	10.0	ppp-d-16784	PPP (D)	2012-11-30	2012-12-02		Registered Voters	700	3.7	Automated Phone	Pollster	Dem
47.0	47.0	7.0	yougov-economist-16706	YouGov/Economist	2012-11-10	2012-11-12		Adults	1000	4.9	Internet	Nonpartisan	None
42.0	50.0	7.0	yougov-economist-16733	YouGov/Economist	2012-11-03	2012-11-05		Adults	998	4.6	Internet	Nonpartisan	None
48.0	48.0	4.0	dailykos-seiu-ppp-d-16640	DailyKos/SEIU/PPP (D)	2012-11-01	2012-11-04		Likely Voters	1300	2.7	Automated Phone	Sponsor	Dem
46.0	46.0	7.0	fox-16385	FOX	2012-10-28	2012-10-30		Registered Voters	1230	3.0	Live Phone	Nonpartisan	None
45.0	48.0	7.0	yougov-economist-16365	YouGov/Economist	2012-10-26	2012-10-28		Adults	1000	4.6	Internet	Nonpartisan	None
37.0	43.0	20.0	cbs-times-16346	CBS/Times	2012-10-25	2012-10-28		Likely Voters	563	4.0	Live Phone	Nonpartisan	None
45.0	50.0	5.0	dailykos-seiu-ppp-d-16322	DailyKos/SEIU/PPP (D)	2012-10-25	2012-10-28		Likely Voters	1400	2.6	Automated Phone	Sponsor	Dem
44.0	42.0	15.0	pew-16283	Pew	2012-10-24	2012-10-28		Adults	1014		Live Phone	Nonpartisan	None
46.0	48.0	5.0	npr-16310	NPR	2012-10-23	2012-10-25		Likely Voters	1000	3.1	Live Phone	Pollster	Dem
44.0	41.0	15.0	ap-gfk-16135	AP-GfK	2012-10-19	2012-10-23		Adults	1186	3.5	Live Phone	Nonpartisan	None
42.0	51.0	7.0	yougov-economist-16066	YouGov/Economist	2012-10-20	2012-10-22		Adults	1000	4.9	Internet	Nonpartisan	None
45.0	50.0	5.0	dailykos-seiu-ppp-d-16074	DailyKos/SEIU/PPP (D)	2012-10-18	2012-10-21		Likely Voters	1300	2.7	Automated Phone	Sponsor	Dem
37.0	46.0	18.0	monmouth-16023	Monmouth	2012-10-18	2012-10-21		Likely Voters	1402	2.6	IVR/Live Phone	Nonpartisan	None
40.0	42.0	18.0	nbc-wsj-16000	NBC/WSJ	2012-10-17	2012-10-20		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
46.0	46.0	8.0	yougov-economist-15873	YouGov/Economist	2012-10-13	2012-10-15		Adults	999		Internet	Nonpartisan	None
42.0	52.0	6.0	dailykos-seiu-ppp-d-15824	DailyKos/SEIU/PPP (D)	2012-10-12	2012-10-14		Likely Voters	1600	2.5	Automated Phone	Sponsor	Dem
55.0	45.0		ipsos-reuters-web-15773	Ipsos/Reuters (Web)	2012-10-10	2012-10-14		Registered Voters	2123		Internet	Nonpartisan	None
44.0	46.0	10.0	politico-gwu-battleground-15781	Politico/GWU/Battleground	2012-10-07	2012-10-11		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
44.0	46.0	10.0	fox-15675	FOX	2012-10-07	2012-10-09		Registered Voters	1204	3.0	Live Phone	Nonpartisan	None
43.0	49.0	10.0	yougov-economist-15646	YouGov/Economist	2012-10-06	2012-10-08		Adults	1000	5.0	Internet	Nonpartisan	None
38.0	46.0	16.0	pew-15793	Pew	2012-10-04	2012-10-07		Registered Voters	1201	3.3	Live Phone	Nonpartisan	None
42.0	50.0	9.0	dailykos-seiu-ppp-d-15619	DailyKos/SEIU/PPP (D)	2012-10-04	2012-10-07		Likely Voters	1300	2.7	Automated Phone	Sponsor	Dem
41.0	49.0	10.0	yougov-economist-15515	YouGov/Economist	2012-09-29	2012-10-01		Adults	1000	4.7	Internet	Nonpartisan	None
47.0	42.0	11.0	cnn-15442	CNN	2012-09-28	2012-09-30		Registered Voters	883	3.5	Live Phone	Nonpartisan	None
37.0	38.0	25.0	nbc-wsj-15480	NBC/WSJ	2012-09-26	2012-09-30		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
44.0	43.0	13.0	fox-15368	FOX	2012-09-24	2012-09-26		Registered Voters	1208	3.0	Live Phone	Nonpartisan	None
42.0	45.0	13.0	bloomberg-15316	Bloomberg	2012-09-21	2012-09-24		Adults	1007	3.1	Live Phone	Nonpartisan	None
43.0	45.0	13.0	politico-gwu-battleground-15259	Politico/GWU/Battleground	2012-09-16	2012-09-20		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
47.0	46.0	8.0	yougov-economist-15131	YouGov/Economist	2012-09-15	2012-09-17		Adults	1000	4.1	Internet	Nonpartisan	None
41.0	43.0	15.0	pew-15141	Pew	2012-09-12	2012-09-16		Adults	1455		Live Phone	Nonpartisan	None
34.0	34.0	32.0	cbs-times-15036	CBS/Times	2012-09-08	2012-09-12		Registered Voters	1170	3.0	Live Phone	Nonpartisan	None
47.0	44.0	10.0	fox-14991	FOX	2012-09-09	2012-09-11		Registered Voters	1224	3.0	Live Phone	Nonpartisan	None
46.0	45.0	9.0	yougov-economist-14980	YouGov/Economist	2012-09-08	2012-09-10		Adults	1000	3.9	Internet	Nonpartisan	None
51.0	49.0		ipsos-reuters-web-14936	Ipsos/Reuters (Web)	2012-09-05	2012-09-09		Registered Voters	1660	2.7	Internet	Nonpartisan	None
51.0	49.0		ipsos-reuters-web-14933	Ipsos/Reuters (Web)	2012-09-04	2012-09-08		Registered Voters	1720	2.7	Internet	Nonpartisan	None
51.0	49.0		ipsos-reuters-web-14928	Ipsos/Reuters (Web)	2012-09-03	2012-09-07		Registered Voters	1670	2.7	Internet	Nonpartisan	None
49.0	51.0		ipsos-reuters-web-14909	Ipsos/Reuters (Web)	2012-09-02	2012-09-06		Registered Voters	1623	2.8	Internet	Nonpartisan	None
50.0	50.0		ipsos-reuters-web-14908	Ipsos/Reuters (Web)	2012-09-01	2012-09-05		Registered Voters	1352	3.0	Internet	Nonpartisan	None
49.0	51.0		ipsos-reuters-web-14890	Ipsos/Reuters (Web)	2012-08-31	2012-09-04		Registered Voters	1447	2.9	Internet	Nonpartisan	None
41.0	44.0	14.0	yougov-economist-14895	YouGov/Economist	2012-09-01	2012-09-03		Adults	1000	4.2	Internet	Nonpartisan	None
46.0	43.0	11.0	cnn-14889	CNN	2012-08-31	2012-09-03		Registered Voters	877	3.5	Live Phone	Nonpartisan	None
49.0	51.0		ipsos-reuters-web-14857	Ipsos/Reuters (Web)	2012-08-29	2012-09-02		Registered Voters	1441	2.9	Internet	Nonpartisan	None
50.0	50.0		ipsos-reuters-web-14856	Ipsos/Reuters (Web)	2012-08-28	2012-09-01		Registered Voters	1505	2.9	Internet	Nonpartisan	None
50.0	50.0	0.0	ipsos-reuters-web-14855	Ipsos/Reuters (Web)	2012-08-27	2012-08-31		Registered Voters	1632	2.8	Internet	Nonpartisan	None
49.0	51.0		ipsos-reuters-web-14845	Ipsos/Reuters (Web)	2012-08-26	2012-08-30		Registered Voters	1481	2.9	Internet	Nonpartisan	None
48.0	52.0		ipsos-reuters-web-14831	Ipsos/Reuters (Web)	2012-08-25	2012-08-29		Registered Voters	1545	2.8	Internet	Nonpartisan	None
48.0	52.0		ipsos-reuters-web-14818	Ipsos/Reuters (Web)	2012-08-24	2012-08-28		Registered Voters	1591	2.8	Internet	Nonpartisan	None
40.0	46.0	14.0	yougov-economist-14826	YouGov/Economist	2012-08-25	2012-08-27		Adults	1000	4.2	Internet	Nonpartisan	None
49.0		51.0	ipsos-reuters-web-14815	Ipsos/Reuters (Web)	2012-08-24	2012-08-27		Registered Voters	857	3.8	Internet	Nonpartisan	None
28.0	37.0	36.0	cbs-14807	CBS	2012-08-22	2012-08-26		Registered Voters	1051	3.0	Live Phone	Nonpartisan	None
44.0	47.0	9.0	cnn-14768	CNN	2012-08-22	2012-08-23		Registered Voters	924	3.0	Live Phone	Nonpartisan	None
44.0	45.0	11.0	usa-today-gallup-14898	USA Today/Gallup	2012-08-20	2012-08-22		Adults	1033	4.0	Live Phone	Nonpartisan	None
42.0	47.0	11.0	resurgent-republic-r-14797	Resurgent Republic (R)	2012-08-16	2012-08-22		Registered Voters	1000	3.1	Live Phone	Pollster	Rep
45.0	42.0	12.0	fox-14758	FOX	2012-08-19	2012-08-21		Registered Voters	1219	3.0	Live Phone	Nonpartisan	None
36.0	48.0	16.0	yougov-economist-14729	YouGov/Economist	2012-08-18	2012-08-20		Adults	1000	4.6	Internet	Nonpartisan	None
42.0	44.0	14.0	ap-gfk-14719	AP-GfK	2012-08-16	2012-08-20		Adults	1006	3.9	Live Phone	Nonpartisan	None
36.0	40.0	24.0	nbc-wsj-14718	NBC/WSJ	2012-08-16	2012-08-20		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
43.0	43.0	14.0	abc-post-14722	ABC/Post	2012-08-15	2012-08-19		Adults	1020	4.0	Live Phone	Nonpartisan	None
30.0	35.0	35.0	monmouth-14702	Monmouth	2012-08-15	2012-08-19		Registered Voters	1375	2.7	IVR/Live Phone	Nonpartisan	None
41.0	44.0	16.0	yougov-economist-14659	YouGov/Economist	2012-08-11	2012-08-13		Adults	1000	4.1	Internet	Nonpartisan	None
35.0	37.0	28.0	nbc-wsj-14436	NBC/WSJ	2012-07-18	2012-07-22		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
38.0	49.0	14.0	yougov-economist-14304	YouGov/Economist	2012-07-07	2012-07-09		Adults	1000	4.2	Internet	Nonpartisan	None
40.0	44.0	15.0	yougov-economist-14199	YouGov/Economist	2012-06-23	2012-06-25		Adults	1000	4.2	Internet	Nonpartisan	None
42.0	43.0	15.0	yougov-economist-14138	YouGov/Economist	2012-06-16	2012-06-18		Adults	1000	4.3	Internet	Nonpartisan	None
41.0	46.0	13.0	cnn-13981	CNN	2012-05-29	2012-05-31		Registered Voters	895	3.5	Live Phone	Nonpartisan	None
35.0	37.0	28.0	nbc-wsj-13873	NBC/WSJ	2012-05-16	2012-05-20		Adults	1000	3.1	Live Phone	Nonpartisan	None
41.0	44.0	15.0	fox-13819	FOX	2012-05-13	2012-05-15		Registered Voters	915	3.0	Live Phone	Nonpartisan	None
42.0	45.0	14.0	usa-today-gallup-14641	USA Today/Gallup	2012-05-10	2012-05-13		Adults	1012	4.0	Live Phone	Nonpartisan	None
41.0	42.0	16.0	yougov-economist-12064	YouGov/Economist	2011-10-29	2011-11-01		Adults	1000	3.7	Internet	Nonpartisan	None
